name,address,website,normal_score
LAX Eatery,"Neureutherstr. 1, 80799 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10152097,4.0
Buongiorno Gelato,"Richard-Strauss-Str. 35, 81677 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10157126,4.5
Spina,"Maria-Probst-Str. 49, 80939 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10157434,4.5
Jazz Cantina,"Steinstr. 83, 81667 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1016385,3.0
L'Osteria Munchen Elisabethstrasse,"Elisabethstrasse 52, 80796 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10165113,3.5
Hochreiter,"Heiliggeiststr. 3 Vicktualienmarkt, 80331 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10168115,4.0
Seerose,"Feilitzschstr. 32, 80802 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1017197,3.5
Burgers Moosach,"Bunzlauer Str. 25, 80992 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10173967,4.0
Le Florida,"Georgenstr. 48, 80799 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1017522,3.5
Green Oasia,"Bunzlauer Platz 7, 80992 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10195594,3.5
W XYZ Bar Munich,"Bayerstr. 37, 80335 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10202406,4.5
Palast der Winde,"Hans-Sachs-Str. 8, 80469 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1021758,4.0
Bombay Heimservice,"Verdistr. 103, 81247 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10223093,5.0
Mayflower,"Milbertshofener Str. 34, 80807 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10227283,4.0
Cigkofte King,"Gollierstr. 18, 80339 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10230176,5.0
Arena Treff,"Bauernfeindstr. 19, 80939 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10234298,4.5
Kaimug,"Theatinerstr. 15, 80333 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1023988,3.5
Dalmatiner Grill,"Geibelstr. 10, 81679 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1024664,4.5
essBAR Neuhaus,"Amalienstr. 69 hinter der Uni, 80799 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10247006,4.0
Burger House,"Jahnstr. 30, 80469 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10247435,3.5
Gecco Kaufingertor Passage,"Furstenfelder Str 519, Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10254297,3.5
Cotidiano Schwabing,"Hohenzollernstr. 11, 80801 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10267195,4.0
frischfutter,"Marsstr. 13, 80335 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10276843,5.0
Thompson,"Rumfordstr. 42, 80469 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10279811,5.0
Co Do Bistro,"Marchioninistr. 2 Stürzer Hof, 81377 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10281935,4.5
Volksgarten,"Briennerstr. 30, Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d1028238,4.0
Trattoria Dai Fratelli,"Leibstr. 5, 85540 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10284608,4.5
Ben Thanh Restaurant,"Westendstr. 31, 80339 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10286663,4.5
Isar Alm,"Nithart 8, 81543 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10293159,5.0
Backerei Konditorei Kistenpfennig,"Fritz-Meyer-Weg 46, 81925 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10298720,4.0
Landtagsgaststaette im Maximilianeum,"Max-Planck-Str. 1 Maximilianeum, 81627 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10302326,3.0
Osteria,"Wuermtalstr. 2, 81375 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10302685,3.0
Sichuan Küche,"Hohenzollernplatz 4, 80796 Munich, Bavaria Germany",https://www.tripadvisor.com/g187309-d10306184,3.5
